Time,Open,High,Low,Close
2025-02-27 09:45:00,2886.33,2887.45,2886.08,2887.06
2025-02-27 09:50:00,2887.05,2888.37,2887.03,2887.62
2025-02-27 09:55:00,2887.61,2887.86,2886.46,2887.48
2025-02-27 10:00:00,2887.46,2889.24,2886.68,2889.01
2025-02-27 10:05:00,2888.99,2889.18,2887.51,2889.07
2025-02-27 10:10:00,2889.11,2889.55,2887.65,2888.2
2025-02-27 10:15:00,2888.21,2888.8,2887.53,2888.04
2025-02-27 10:20:00,2888.03,2890.06,2886.7,2890.01
2025-02-27 10:25:00,2890.02,2892.05,2889.41,2891.1
2025-02-27 10:30:00,2891.08,2893.57,2890.5,2891.68
2025-02-27 10:35:00,2891.67,2891.7,2890.39,2890.77
2025-02-27 10:40:00,2890.74,2892.04,2890.39,2891.73
2025-02-27 10:45:00,2891.71,2892.12,2891.49,2892.05
2025-02-27 10:50:00,2892.04,2894.12,2891.81,2893.85
2025-02-27 10:55:00,2893.92,2895.11,2892.16,2892.24
2025-02-27 11:00:00,2892.25,2893.03,2891.64,2891.78
2025-02-27 11:05:00,2891.74,2892.15,2888.57,2892.11
2025-02-27 11:10:00,2892.19,2895.03,2892.08,2893.92
2025-02-27 11:15:00,2893.93,2894.35,2892.36,2892.92
2025-02-27 11:20:00,2892.98,2892.98,2889.66,2890.02
2025-02-27 11:25:00,2890.01,2890.41,2887.58,2888.73
2025-02-27 11:30:00,2888.76,2889.04,2887.33,2887.39
2025-02-27 11:35:00,2887.37,2887.99,2886.33,2887.51
2025-02-27 11:40:00,2887.56,2888.98,2886.5,2888.9
2025-02-27 11:45:00,2888.96,2888.96,2886.42,2886.92
2025-02-27 11:50:00,2886.92,2886.93,2883.73,2884.58
2025-02-27 11:55:00,2884.54,2885.34,2883.5,2884.1
2025-02-27 12:00:00,2884.13,2884.98,2883.2,2883.76
2025-02-27 12:05:00,2883.75,2884.68,2883.17,2883.78
2025-02-27 12:10:00,2883.79,2885.55,2883.24,2885.4
2025-02-27 12:15:00,2885.47,2887.84,2884.97,2887.39
2025-02-27 12:20:00,2887.4,2887.91,2884.08,2885.24
2025-02-27 12:25:00,2885.25,2885.58,2883.94,2885.21
2025-02-27 12:30:00,2885.25,2885.72,2884.07,2885.4
2025-02-27 12:35:00,2885.41,2886.98,2884.88,2886.35
2025-02-27 12:40:00,2886.4,2888.78,2885.17,2888.66
2025-02-27 12:45:00,2888.67,2888.68,2885.88,2886.11
2025-02-27 12:50:00,2886.12,2886.75,2884.34,2886.75
2025-02-27 12:55:00,2886.73,2887.33,2884.71,2885.1
2025-02-27 13:00:00,2885.07,2888.08,2884.48,2888.02
2025-02-27 13:05:00,2888.23,2888.32,2884.94,2886
2025-02-27 13:10:00,2885.98,2887.45,2884.73,2886.47
2025-02-27 13:15:00,2886.5,2889.38,2886.48,2889.17
2025-02-27 13:20:00,2888.8,2892.13,2888.77,2889.16
2025-02-27 13:25:00,2889.19,2890.32,2888.48,2888.58
2025-02-27 13:30:00,2888.31,2889.96,2881.16,2886.98
2025-02-27 13:35:00,2886.95,2886.96,2883.88,2886.51
2025-02-27 13:40:00,2886.52,2887.87,2883.83,2886.34
2025-02-27 13:45:00,2886.3,2888.56,2881.64,2886.36
2025-02-27 13:50:00,2886.38,2890.91,2885.76,2890.59
2025-02-27 13:55:00,2890.64,2891.23,2886.51,2888.98
2025-02-27 14:00:00,2888.93,2891.6,2887.17,2890.18
2025-02-27 14:05:00,2889.63,2889.67,2885.49,2888.16
2025-02-27 14:10:00,2888.23,2890.09,2886.6,2889.64
2025-02-27 14:15:00,2889.67,2891.45,2889.53,2890.88
2025-02-27 14:20:00,2890.9,2892.43,2890.02,2890.42
2025-02-27 14:25:00,2890.4,2891.51,2888.96,2889.23
2025-02-27 14:30:00,2889.27,2891.07,2887.19,2887.19
2025-02-27 14:35:00,2887.16,2888.82,2882.76,2884.64
2025-02-27 14:40:00,2884.66,2884.8,2880.29,2881.84
2025-02-27 14:45:00,2881.68,2882.36,2868.12,2871.94
2025-02-27 14:50:00,2872.24,2872.81,2867.94,2871.81
2025-02-27 14:55:00,2871.84,2874.07,2870.75,2872.43
2025-02-27 15:00:00,2872.73,2881.79,2870.52,2880.29
2025-02-27 15:05:00,2880.12,2882.48,2874.69,2874.84
2025-02-27 15:10:00,2874.78,2878.32,2873.41,2874.05
2025-02-27 15:15:00,2874.12,2876.25,2871,2872.14
2025-02-27 15:20:00,2872.13,2879.43,2871.69,2877.73
2025-02-27 15:25:00,2877.67,2878.07,2875.56,2875.69
2025-02-27 15:30:00,2875.66,2877.76,2874.81,2875.99
2025-02-27 15:35:00,2875.78,2877.9,2875.18,2876.93
2025-02-27 15:40:00,2876.78,2876.84,2875.35,2875.75
2025-02-27 15:45:00,2875.79,2877.53,2874.1,2874.1
2025-02-27 15:50:00,2873.97,2875.27,2871.32,2871.98
2025-02-27 15:55:00,2871.91,2874.19,2871.86,2872.26
2025-02-27 16:00:00,2872.29,2876.17,2872,2875.47
2025-02-27 16:05:00,2875.49,2876.21,2873.34,2876.21
2025-02-27 16:10:00,2876.19,2877.2,2874.87,2875.03
2025-02-27 16:15:00,2875.02,2876.42,2874.63,2875.96
2025-02-27 16:20:00,2875.96,2877.16,2874.65,2875.16
2025-02-27 16:25:00,2875.11,2875.13,2872.77,2873.76
2025-02-27 16:30:00,2873.78,2875.62,2872.81,2872.97
2025-02-27 16:35:00,2873,2874.1,2871.94,2873.38
2025-02-27 16:40:00,2873.39,2876.51,2873.39,2876.25
2025-02-27 16:45:00,2876.27,2876.61,2875.54,2876.24
2025-02-27 16:50:00,2876.28,2878.12,2876.28,2876.8
2025-02-27 16:55:00,2876.8,2877.87,2876.2,2877.37
2025-02-27 17:00:00,2877.53,2878.68,2877.05,2878.66
2025-02-27 17:05:00,2878.78,2878.92,2877.09,2877.59
2025-02-27 17:10:00,2877.51,2877.58,2876.09,2877.15
2025-02-27 17:15:00,2877.16,2878.14,2876.2,2877.93
2025-02-27 17:20:00,2877.95,2878.97,2877.08,2878.68
2025-02-27 17:25:00,2878.69,2881.33,2878.6,2880.95
2025-02-27 17:30:00,2881.04,2881.63,2879.73,2879.74
2025-02-27 17:35:00,2879.9,2879.93,2877.92,2879.52
2025-02-27 17:40:00,2879.24,2880.29,2878.56,2878.98
2025-02-27 17:45:00,2878.97,2880.98,2878.97,2880.68
2025-02-27 17:50:00,2880.64,2883.29,2880.56,2883.16
2025-02-27 17:55:00,2883.26,2883.78,2882.55,2883.18
2025-02-27 18:00:00,2883.21,2885.65,2883.17,2884.29
2025-02-27 18:05:00,2884.31,2886.04,2884.08,2885.66
2025-02-27 18:10:00,2885.66,2886.93,2884.69,2886.05
2025-02-27 18:15:00,2885.94,2886.72,2884.66,2885.04
2025-02-27 18:20:00,2884.92,2886.65,2884.74,2885.31
2025-02-27 18:25:00,2885.29,2886.25,2883.71,2883.72
2025-02-27 18:30:00,2883.88,2884.4,2882.81,2884.26
2025-02-27 18:35:00,2884.25,2885.74,2884.11,2884.92
2025-02-27 18:40:00,2884.97,2886.06,2884.63,2884.81
2025-02-27 18:45:00,2884.95,2885.79,2884.57,2885.18
2025-02-27 18:50:00,2885.21,2885.44,2884.5,2885.06
2025-02-27 18:55:00,2885.13,2887.36,2885.02,2887.29
2025-02-27 19:00:00,2887.37,2887.66,2886.44,2886.44
2025-02-27 19:05:00,2886.42,2887.13,2885.95,2886.12
2025-02-27 19:10:00,2886.11,2886.82,2885.85,2885.87
2025-02-27 19:15:00,2885.77,2886.25,2885.28,2886.25
2025-02-27 19:20:00,2886.28,2886.44,2884.53,2884.76
2025-02-27 19:25:00,2884.75,2884.75,2882.76,2883.1
2025-02-27 19:30:00,2883.07,2883.1,2877.32,2878.14
2025-02-27 19:35:00,2878.15,2881.01,2878.06,2879.83
2025-02-27 19:40:00,2879.81,2880.58,2877.51,2880.28
2025-02-27 19:45:00,2880.33,2880.63,2877.34,2878.96
2025-02-27 19:50:00,2879.04,2880.18,2878.73,2879.19
2025-02-27 19:55:00,2879.2,2879.78,2878.29,2879.19
2025-02-27 20:00:00,2879.23,2879.36,2877.32,2878.46
2025-02-27 20:05:00,2878.53,2879.06,2876.63,2876.95
2025-02-27 20:10:00,2877.01,2877.09,2874.65,2874.89
2025-02-27 20:15:00,2874.86,2876.06,2874.48,2874.97
2025-02-27 20:20:00,2874.99,2876.1,2873.37,2875.93
2025-02-27 20:25:00,2875.92,2876.29,2873.44,2873.95
2025-02-27 20:30:00,2873.93,2875.4,2873.46,2874.57
2025-02-27 20:35:00,2874.51,2877.29,2874.5,2876.18
2025-02-27 20:40:00,2876.06,2876.41,2874.76,2875.9
2025-02-27 20:45:00,2875.91,2876.32,2874.5,2874.79
2025-02-27 20:50:00,2874.63,2875.52,2873.72,2874.57
2025-02-27 20:55:00,2874.45,2874.58,2872.83,2873.63
2025-02-27 23:00:00,2877.44,2877.68,2875.75,2876.5
2025-02-27 23:05:00,2876.55,2877.11,2876.31,2876.74
2025-02-27 23:10:00,2876.75,2877.7,2876.68,2877.67
2025-02-27 23:15:00,2877.64,2878.38,2877.25,2877.5
2025-02-27 23:20:00,2877.46,2877.57,2875.54,2875.57
2025-02-27 23:25:00,2875.62,2876.27,2875.08,2875.33
2025-02-27 23:30:00,2875.34,2876.51,2874.97,2876.07
2025-02-27 23:35:00,2876.06,2876.19,2875.51,2876.05
2025-02-27 23:40:00,2876.05,2876.38,2875.93,2876.03
